EntrezGene ID	HGNC symbol
100132635	MUC5B
10635	RAD51AP1
10733	PLK4
10743	RAI1
11185	AQP1
151246	SGOL2
151648	SGOL1
1959	EGR2
2224	FDPS
23462	HEY1
255738	PCSK9
2662	GDF10
27290	SPINK4
3156	HMGCR
332	BIRC5
3422	IDI1
358	AQP1
3625	INHBB
3638	INSIG1
4047	LSS
4085	MAD2L1
4174	MCM5
4319	MMP10
4586	MUC5B
4597	MVD
50814	NSDHL
51203	NUSAP1
55872	PBK
64946	CENPH
6700	SPRR2A
675	BRCA2
727897	MUC5B
79071	ELOVL6
83461	CDCA3
84152	PPP1R1B
84182	AQP1
8839	WISP2
891	CCNB1
9212	AURKB
9244	CRLF1
954	ENTPD2
9735	KNTC1
991	CDC20
